code	is_in_layer	is_investigated	layer	module	params	submodule	trace_id	w_or_b	display_id	total	threshold
transformer.wte.weight	False	False	-1	wte	38597376	wte	transformer.wte	weight	-1.wte	38597376	-1
transformer.wpe.weight	False	False	-1	wpe	786432	wpe	transformer.wpe	weight	-1.wpe	786432	-1
transformer.h.0.ln_1.weight	True	False	0	ln_1	768	ln_1	transformer.h.0.ln_1	weight	0.ln_1	1536	-1
transformer.h.0.ln_1.bias	True	False	0	ln_1	768	ln_1	transformer.h.0.ln_1	bias	0.ln_1	1536	-1
transformer.h.0.attn.c_attn.weight	True	True	0	attn	1769472	c_attn	transformer.h.0.attn.c_attn	weight	0.attn.c_attn	1771776	25
transformer.h.0.attn.c_attn.bias	True	True	0	attn	2304	c_attn	transformer.h.0.attn.c_attn	bias	0.attn.c_attn	1771776	25
transformer.h.0.attn.c_proj.weight	True	True	0	attn	589824	c_proj	transformer.h.0.attn.c_proj	weight	0.attn.c_proj	590592	100
transformer.h.0.attn.c_proj.bias	True	True	0	attn	768	c_proj	transformer.h.0.attn.c_proj	bias	0.attn.c_proj	590592	100
transformer.h.0.ln_2.weight	True	False	0	ln_2	768	ln_2	transformer.h.0.ln_2	weight	0.ln_2	1536	-1
transformer.h.0.ln_2.bias	True	False	0	ln_2	768	ln_2	transformer.h.0.ln_2	bias	0.ln_2	1536	-1
transformer.h.0.mlp.c_fc.weight	True	True	0	mlp	2359296	c_fc	transformer.h.0.mlp.c_fc	weight	0.mlp.c_fc	2362368	75
transformer.h.0.mlp.c_fc.bias	True	True	0	mlp	3072	c_fc	transformer.h.0.mlp.c_fc	bias	0.mlp.c_fc	2362368	75
transformer.h.0.mlp.c_proj.weight	True	True	0	mlp	2359296	c_proj	transformer.h.0.mlp.c_proj	weight	0.mlp.c_proj	2360064	100
transformer.h.0.mlp.c_proj.bias	True	True	0	mlp	768	c_proj	transformer.h.0.mlp.c_proj	bias	0.mlp.c_proj	2360064	100
transformer.h.1.ln_1.weight	True	False	1	ln_1	768	ln_1	transformer.h.1.ln_1	weight	1.ln_1	1536	-1
transformer.h.1.ln_1.bias	True	False	1	ln_1	768	ln_1	transformer.h.1.ln_1	bias	1.ln_1	1536	-1
transformer.h.1.attn.c_attn.weight	True	True	1	attn	1769472	c_attn	transformer.h.1.attn.c_attn	weight	1.attn.c_attn	1771776	100
transformer.h.1.attn.c_attn.bias	True	True	1	attn	2304	c_attn	transformer.h.1.attn.c_attn	bias	1.attn.c_attn	1771776	100
transformer.h.1.attn.c_proj.weight	True	True	1	attn	589824	c_proj	transformer.h.1.attn.c_proj	weight	1.attn.c_proj	590592	100
transformer.h.1.attn.c_proj.bias	True	True	1	attn	768	c_proj	transformer.h.1.attn.c_proj	bias	1.attn.c_proj	590592	100
transformer.h.1.ln_2.weight	True	False	1	ln_2	768	ln_2	transformer.h.1.ln_2	weight	1.ln_2	1536	-1
transformer.h.1.ln_2.bias	True	False	1	ln_2	768	ln_2	transformer.h.1.ln_2	bias	1.ln_2	1536	-1
transformer.h.1.mlp.c_fc.weight	True	True	1	mlp	2359296	c_fc	transformer.h.1.mlp.c_fc	weight	1.mlp.c_fc	2362368	75
transformer.h.1.mlp.c_fc.bias	True	True	1	mlp	3072	c_fc	transformer.h.1.mlp.c_fc	bias	1.mlp.c_fc	2362368	75
transformer.h.1.mlp.c_proj.weight	True	True	1	mlp	2359296	c_proj	transformer.h.1.mlp.c_proj	weight	1.mlp.c_proj	2360064	100
transformer.h.1.mlp.c_proj.bias	True	True	1	mlp	768	c_proj	transformer.h.1.mlp.c_proj	bias	1.mlp.c_proj	2360064	100
transformer.h.2.ln_1.weight	True	False	2	ln_1	768	ln_1	transformer.h.2.ln_1	weight	2.ln_1	1536	-1
transformer.h.2.ln_1.bias	True	False	2	ln_1	768	ln_1	transformer.h.2.ln_1	bias	2.ln_1	1536	-1
transformer.h.2.attn.c_attn.weight	True	True	2	attn	1769472	c_attn	transformer.h.2.attn.c_attn	weight	2.attn.c_attn	1771776	75
transformer.h.2.attn.c_attn.bias	True	True	2	attn	2304	c_attn	transformer.h.2.attn.c_attn	bias	2.attn.c_attn	1771776	75
transformer.h.2.attn.c_proj.weight	True	True	2	attn	589824	c_proj	transformer.h.2.attn.c_proj	weight	2.attn.c_proj	590592	100
transformer.h.2.attn.c_proj.bias	True	True	2	attn	768	c_proj	transformer.h.2.attn.c_proj	bias	2.attn.c_proj	590592	100
transformer.h.2.ln_2.weight	True	False	2	ln_2	768	ln_2	transformer.h.2.ln_2	weight	2.ln_2	1536	-1
transformer.h.2.ln_2.bias	True	False	2	ln_2	768	ln_2	transformer.h.2.ln_2	bias	2.ln_2	1536	-1
transformer.h.2.mlp.c_fc.weight	True	True	2	mlp	2359296	c_fc	transformer.h.2.mlp.c_fc	weight	2.mlp.c_fc	2362368	75
transformer.h.2.mlp.c_fc.bias	True	True	2	mlp	3072	c_fc	transformer.h.2.mlp.c_fc	bias	2.mlp.c_fc	2362368	75
transformer.h.2.mlp.c_proj.weight	True	True	2	mlp	2359296	c_proj	transformer.h.2.mlp.c_proj	weight	2.mlp.c_proj	2360064	100
transformer.h.2.mlp.c_proj.bias	True	True	2	mlp	768	c_proj	transformer.h.2.mlp.c_proj	bias	2.mlp.c_proj	2360064	100
transformer.h.3.ln_1.weight	True	False	3	ln_1	768	ln_1	transformer.h.3.ln_1	weight	3.ln_1	1536	-1
transformer.h.3.ln_1.bias	True	False	3	ln_1	768	ln_1	transformer.h.3.ln_1	bias	3.ln_1	1536	-1
transformer.h.3.attn.c_attn.weight	True	True	3	attn	1769472	c_attn	transformer.h.3.attn.c_attn	weight	3.attn.c_attn	1771776	75
transformer.h.3.attn.c_attn.bias	True	True	3	attn	2304	c_attn	transformer.h.3.attn.c_attn	bias	3.attn.c_attn	1771776	75
transformer.h.3.attn.c_proj.weight	True	True	3	attn	589824	c_proj	transformer.h.3.attn.c_proj	weight	3.attn.c_proj	590592	100
transformer.h.3.attn.c_proj.bias	True	True	3	attn	768	c_proj	transformer.h.3.attn.c_proj	bias	3.attn.c_proj	590592	100
transformer.h.3.ln_2.weight	True	False	3	ln_2	768	ln_2	transformer.h.3.ln_2	weight	3.ln_2	1536	-1
transformer.h.3.ln_2.bias	True	False	3	ln_2	768	ln_2	transformer.h.3.ln_2	bias	3.ln_2	1536	-1
transformer.h.3.mlp.c_fc.weight	True	True	3	mlp	2359296	c_fc	transformer.h.3.mlp.c_fc	weight	3.mlp.c_fc	2362368	75
transformer.h.3.mlp.c_fc.bias	True	True	3	mlp	3072	c_fc	transformer.h.3.mlp.c_fc	bias	3.mlp.c_fc	2362368	75
